"Province.Name", "2014-2015 Graduation Rates %", "2013-2014 Graduation Rates %", "2012-2013 Graduation Rates %", "2011-2012 Graduation Rates %", "2012-2013 Graduation Rates %"
Ontario,75.4,64.4,76.9,74,60
Quebec,69.0,78.0,69.0,68,64
Alberta,74.0,78.4,72.7,73,70
Manitoba,77.3,77.7,78.8,74,73
Nova Scotia,66.0,70.8,52.0,N/A,N/A
British Columbia,84.3,82.7,78.8,77,79
Newfoundland and Labrador,44.3,42.8,36.7,33,29
Prince Edward Island,74.0,71.0,70.0,70,66
Yukon,67.9,63.5,60.0,57,57
Northwest Territories,69.9,69.1,67.8,69,66
Nunavut,55.9,51.8,47.2,48,48
Saskatchewan,67.3,64.4,62.3,60,57
New Brunswick,74.3,71.7,76.7,74,72